t_epoch_s,power_mW,gpu_index,source
1767014121.103524,10350,0,nvidia-smi
1767014121.213408,10350,0,nvidia-smi
1767014121.302749,10350,0,nvidia-smi
1767014121.415254,10350,0,nvidia-smi
1767014121.503080,10350,0,nvidia-smi
1767014121.615096,10350,0,nvidia-smi
1767014121.714235,10350,0,nvidia-smi
1767014121.826384,10350,0,nvidia-smi
1767014121.914246,10350,0,nvidia-smi
1767014122.014108,10290,0,nvidia-smi
1767014122.115395,10290,0,nvidia-smi
1767014122.213825,10290,0,nvidia-smi
1767014122.314197,10290,0,nvidia-smi
1767014122.402972,10290,0,nvidia-smi
1767014122.514291,10290,0,nvidia-smi
1767014122.603269,10290,0,nvidia-smi
1767014122.714036,10290,0,nvidia-smi
1767014122.802235,10290,0,nvidia-smi
1767014122.937392,10290,0,nvidia-smi
1767014123.015071,10300,0,nvidia-smi
1767014123.102894,10300,0,nvidia-smi
1767014123.202913,10300,0,nvidia-smi
1767014123.314108,10300,0,nvidia-smi
1767014123.402960,10300,0,nvidia-smi
1767014123.502739,10300,0,nvidia-smi
1767014123.603039,10300,0,nvidia-smi
1767014123.702996,10300,0,nvidia-smi
1767014123.814090,10300,0,nvidia-smi
1767014123.915191,10300,0,nvidia-smi
1767014124.013892,10280,0,nvidia-smi
1767014124.114229,10280,0,nvidia-smi
1767014124.203015,10280,0,nvidia-smi
1767014124.303488,10280,0,nvidia-smi
1767014124.414040,10280,0,nvidia-smi
1767014124.503773,10280,0,nvidia-smi
1767014124.615058,10280,0,nvidia-smi
1767014124.703553,10280,0,nvidia-smi
1767014124.814039,10280,0,nvidia-smi
1767014124.917207,10280,0,nvidia-smi
1767014125.014064,10220,0,nvidia-smi
1767014125.102265,10220,0,nvidia-smi
1767014125.214031,10220,0,nvidia-smi
1767014125.303084,10220,0,nvidia-smi
1767014125.415024,10220,0,nvidia-smi
1767014125.513947,10220,0,nvidia-smi
1767014125.615299,10220,0,nvidia-smi
1767014125.713782,10220,0,nvidia-smi
1767014125.816242,10220,0,nvidia-smi
1767014125.925390,10220,0,nvidia-smi
1767014126.002521,10240,0,nvidia-smi
1767014126.102955,10240,0,nvidia-smi
1767014126.214223,10240,0,nvidia-smi
1767014126.303355,10240,0,nvidia-smi
1767014126.403192,10240,0,nvidia-smi
1767014126.515085,10240,0,nvidia-smi
1767014126.603020,10240,0,nvidia-smi
1767014126.703333,10240,0,nvidia-smi
1767014126.814080,10240,0,nvidia-smi
1767014126.914365,10240,0,nvidia-smi
1767014127.013827,10280,0,nvidia-smi
1767014127.102993,10280,0,nvidia-smi
1767014127.215071,10280,0,nvidia-smi
1767014127.314259,10280,0,nvidia-smi
1767014127.403044,10280,0,nvidia-smi
1767014127.526606,10280,0,nvidia-smi
1767014127.614825,10280,0,nvidia-smi
1767014127.703580,10280,0,nvidia-smi
1767014127.803022,10280,0,nvidia-smi
1767014127.902951,10280,0,nvidia-smi
1767014128.015070,10290,0,nvidia-smi
1767014128.102949,10290,0,nvidia-smi
1767014128.213964,10290,0,nvidia-smi
