t_epoch_s,power_mW,gpu_index,source
1766961035.178082,10280,0,nvidia-smi
1766961035.290390,10280,0,nvidia-smi
1766961035.389802,10280,0,nvidia-smi
1766961035.489040,10280,0,nvidia-smi
1766961035.588990,10280,0,nvidia-smi
1766961035.677574,10280,0,nvidia-smi
1766961035.790132,10280,0,nvidia-smi
1766961035.877622,10280,0,nvidia-smi
1766961035.977596,10300,0,nvidia-smi
1766961036.078550,10300,0,nvidia-smi
1766961036.189196,10300,0,nvidia-smi
1766961036.290071,10300,0,nvidia-smi
1766961036.390325,10300,0,nvidia-smi
1766961036.477288,10300,0,nvidia-smi
1766961036.588976,10300,0,nvidia-smi
1766961036.678265,10300,0,nvidia-smi
1766961036.789015,10300,0,nvidia-smi
1766961036.890119,10300,0,nvidia-smi
1766961036.977137,10300,0,nvidia-smi
1766961037.088958,10300,0,nvidia-smi
1766961037.190165,10300,0,nvidia-smi
1766961037.290021,10300,0,nvidia-smi
1766961037.377405,10300,0,nvidia-smi
1766961037.489945,10300,0,nvidia-smi
1766961037.577608,10300,0,nvidia-smi
1766961037.689077,10300,0,nvidia-smi
1766961037.789273,10300,0,nvidia-smi
1766961037.918765,10300,0,nvidia-smi
1766961038.044927,10300,0,nvidia-smi
1766961038.091311,10300,0,nvidia-smi
1766961038.182312,10280,0,nvidia-smi
1766961038.277016,12070,0,nvidia-smi
1766961038.376402,13960,0,nvidia-smi
1766961038.476132,15590,0,nvidia-smi
1766961038.576456,17030,0,nvidia-smi
1766961038.676140,18300,0,nvidia-smi
1766961038.776595,19430,0,nvidia-smi
1766961038.876618,20440,0,nvidia-smi
1766961038.977099,21360,0,nvidia-smi
1766961039.076704,33010,0,nvidia-smi
1766961039.187771,33490,0,nvidia-smi
1766961039.289475,33490,0,nvidia-smi
1766961039.376126,33490,0,nvidia-smi
1766961039.488471,33490,0,nvidia-smi
1766961039.576635,33490,0,nvidia-smi
1766961039.676231,33490,0,nvidia-smi
1766961039.790119,38710,0,nvidia-smi
1766961039.876684,39440,0,nvidia-smi
1766961039.991267,39830,0,nvidia-smi
1766961040.094813,43860,0,nvidia-smi
1766961040.179305,58240,0,nvidia-smi
1766961040.279567,71680,0,nvidia-smi
1766961040.379278,81000,0,nvidia-smi
1766961040.490337,88980,0,nvidia-smi
1766961040.578444,95910,0,nvidia-smi
1766961040.691984,101850,0,nvidia-smi
1766961040.778970,147870,0,nvidia-smi
1766961040.891612,151830,0,nvidia-smi
1766961041.003289,164180,0,nvidia-smi
1766961041.091515,176930,0,nvidia-smi
1766961041.190094,186300,0,nvidia-smi
1766961041.291208,185320,0,nvidia-smi
1766961041.391729,185210,0,nvidia-smi
1766961041.479237,185470,0,nvidia-smi
1766961041.592292,185640,0,nvidia-smi
1766961041.678698,185620,0,nvidia-smi
1766961041.778920,185680,0,nvidia-smi
1766961041.878885,188140,0,nvidia-smi
1766961041.990708,189230,0,nvidia-smi
1766961042.079639,189270,0,nvidia-smi
1766961042.204563,189540,0,nvidia-smi
1766961042.279893,189580,0,nvidia-smi
1766961042.378901,189550,0,nvidia-smi
1766961042.478721,189590,0,nvidia-smi
